,Borough,Location,Spaces,Times of Operation,Rank No.,Notes,Longitude,Latitude
533,Westminster,Victoria Embankment (Walkabout),3,19.00 – 07.00,5890,"TLRN
Shared use loading bay",-0.12181,51.507206
534,Westminster,Victoria Station (Hudson’s Place/Bridge Place/ Vauxhall Bridge Road),36,24 hours,5743,TLRN,-0.1438979,51.4952103
535,Westminster,Vigo Street,2,24 hours,5778,,-0.1389801,51.5102636
536,Westminster,Wardour Street (Humus Bros Restaurant),3,24 hours,5468,,-0.1337818,51.5133627
537,Westminster,Wardour Street (W Hotel),2,24 hours,5016,,-0.1314287,51.510843
538,Westminster,Wardour Street (Stringfellows Angels),3,22:00 – 03:00,5580,,-0.135862,51.515686
539,Westminster,Warwick Avenue (St. Saviours Church),18,2nd  portion operates Monday – Friday between 08.30 –18.30,5702,Refreshment rank,-0.1841365,51.5235892
540,Westminster,Welbeck Street (The Marylebone Hotel),3,24 hours,4871,,-0.1497273,51.518104
541,Westminster,Welbeck Street (Holiday Inn),2,24 hours,4171,,-0.149556,51.5168442
542,Westminster,Wellington Place,10,24 hours,4699,"Also refreshment
rank",-0.1704054,51.5316421
543,Westminster,Wellington Street (Lyceum Theatre),3,17:00 – 06:00,6015,,-0.1199872,51.5115961
544,Westminster,Wells Street (Project London),2,00:00 – 06:00,5074,,-0.137242,51.516312
545,Westminster,West Halkin Street (Waitrose),2,24 hours,5463,,-0.1371766,51.4974428
546,Westminster,Westbourne Street (Royal Lancaster),7,24 hours,4479,,-0.1750956,51.5123875
547,Westminster,Whitcomb Street (Panton Street),7,23:00 – 07:00,5671,,-0.1310398,51.5098487
548,Westminster,Whitehall Place (Corinthia Hotel),4,24 hours,5993,,-0.1243667,51.5064645
549,Westminster,Whitehall Court (Royal Horseguards Hotel),4,24 hours,5681,,-0.1242874,51.5057775
550,Westminster,Wilton Place (Berkeley Hotel),4,24 hours,4968,,-0.1561406,51.5019889
551,Hillingdon,Heathrow,20,24 hours,N/A,,-0.425642,51.476932
